phrase_id,target_text,audio_status,source_path,notes
turkish-coffee-shop-1,,pending-source-text,,Fill after target text is finalized
turkish-coffee-shop-2,,pending-source-text,,Fill after target text is finalized
turkish-coffee-shop-3,,pending-source-text,,Fill after target text is finalized
turkish-coffee-shop-4,,pending-source-text,,Fill after target text is finalized
turkish-coffee-shop-5,,pending-source-text,,Fill after target text is finalized
turkish-coffee-shop-6,,pending-source-text,,Fill after target text is finalized
turkish-coffee-shop-7,,pending-source-text,,Fill after target text is finalized
turkish-street-food-1,,pending-source-text,,Fill after target text is finalized
turkish-street-food-2,,pending-source-text,,Fill after target text is finalized
turkish-street-food-3,,pending-source-text,,Fill after target text is finalized
turkish-street-food-4,,pending-source-text,,Fill after target text is finalized
turkish-street-food-5,,pending-source-text,,Fill after target text is finalized
turkish-street-food-6,,pending-source-text,,Fill after target text is finalized
turkish-street-food-7,,pending-source-text,,Fill after target text is finalized
turkish-grab-taxi-1,,pending-source-text,,Fill after target text is finalized
turkish-grab-taxi-2,,pending-source-text,,Fill after target text is finalized
turkish-grab-taxi-3,,pending-source-text,,Fill after target text is finalized
turkish-grab-taxi-4,,pending-source-text,,Fill after target text is finalized
turkish-grab-taxi-5,,pending-source-text,,Fill after target text is finalized
turkish-grab-taxi-6,,pending-source-text,,Fill after target text is finalized
turkish-grab-taxi-7,,pending-source-text,,Fill after target text is finalized
turkish-asking-price-1,,pending-source-text,,Fill after target text is finalized
turkish-asking-price-2,,pending-source-text,,Fill after target text is finalized
turkish-asking-price-3,,pending-source-text,,Fill after target text is finalized
turkish-asking-price-4,,pending-source-text,,Fill after target text is finalized
turkish-asking-price-5,,pending-source-text,,Fill after target text is finalized
turkish-asking-price-6,,pending-source-text,,Fill after target text is finalized
turkish-asking-price-7,,pending-source-text,,Fill after target text is finalized
turkish-polite-basics-1,,pending-source-text,,Fill after target text is finalized
turkish-polite-basics-2,,pending-source-text,,Fill after target text is finalized
turkish-polite-basics-3,,pending-source-text,,Fill after target text is finalized
turkish-polite-basics-4,,pending-source-text,,Fill after target text is finalized
turkish-polite-basics-5,,pending-source-text,,Fill after target text is finalized
turkish-polite-basics-6,,pending-source-text,,Fill after target text is finalized
turkish-polite-basics-7,,pending-source-text,,Fill after target text is finalized
turkish-convenience-store-1,,pending-source-text,,Fill after target text is finalized
turkish-convenience-store-2,,pending-source-text,,Fill after target text is finalized
turkish-convenience-store-3,,pending-source-text,,Fill after target text is finalized
turkish-convenience-store-4,,pending-source-text,,Fill after target text is finalized
turkish-convenience-store-5,,pending-source-text,,Fill after target text is finalized
turkish-convenience-store-6,,pending-source-text,,Fill after target text is finalized
turkish-convenience-store-7,,pending-source-text,,Fill after target text is finalized
turkish-hotel-hostel-1,,pending-source-text,,Fill after target text is finalized
turkish-hotel-hostel-2,,pending-source-text,,Fill after target text is finalized
turkish-hotel-hostel-3,,pending-source-text,,Fill after target text is finalized
turkish-hotel-hostel-4,,pending-source-text,,Fill after target text is finalized
turkish-hotel-hostel-5,,pending-source-text,,Fill after target text is finalized
turkish-hotel-hostel-6,,pending-source-text,,Fill after target text is finalized
turkish-hotel-hostel-7,,pending-source-text,,Fill after target text is finalized
turkish-directions-1,,pending-source-text,,Fill after target text is finalized
turkish-directions-2,,pending-source-text,,Fill after target text is finalized
turkish-directions-3,,pending-source-text,,Fill after target text is finalized
turkish-directions-4,,pending-source-text,,Fill after target text is finalized
turkish-directions-5,,pending-source-text,,Fill after target text is finalized
turkish-directions-6,,pending-source-text,,Fill after target text is finalized
turkish-directions-7,,pending-source-text,,Fill after target text is finalized
turkish-simple-problems-1,,pending-source-text,,Fill after target text is finalized
turkish-simple-problems-2,,pending-source-text,,Fill after target text is finalized
turkish-simple-problems-3,,pending-source-text,,Fill after target text is finalized
turkish-simple-problems-4,,pending-source-text,,Fill after target text is finalized
turkish-simple-problems-5,,pending-source-text,,Fill after target text is finalized
turkish-simple-problems-6,,pending-source-text,,Fill after target text is finalized
turkish-simple-problems-7,,pending-source-text,,Fill after target text is finalized
turkish-small-talk-1,,pending-source-text,,Fill after target text is finalized
turkish-small-talk-2,,pending-source-text,,Fill after target text is finalized
turkish-small-talk-3,,pending-source-text,,Fill after target text is finalized
turkish-small-talk-4,,pending-source-text,,Fill after target text is finalized
turkish-small-talk-5,,pending-source-text,,Fill after target text is finalized
turkish-small-talk-6,,pending-source-text,,Fill after target text is finalized
turkish-small-talk-7,,pending-source-text,,Fill after target text is finalized
