"phrase_id","scenario_id","audio_key","english_text","target_text","pronunciation","context","emoji","notes","status"
"french-coffee-shop-1","coffee-shop","french-coffee-shop-1","A coffee please","Un café, s'il vous plaît.","uhn kah-fay seel voo play","Use this for a simple coffee order at a cafe bakery or counter.","☕","First-wave translated as the simplest safe counter coffee order for cafes and bakeries.","first-wave-translated"
"french-coffee-shop-2","coffee-shop","french-coffee-shop-2","A black coffee please","Un café noir, s'il vous plaît.","uhn kah fay nwar seel voo play","Use this when you want a black coffee at a cafe or bakery counter.","🥤","Second-wave translated as the France-fit black-coffee follow-up after the base coffee row.","second-wave-translated"
"french-coffee-shop-3","coffee-shop","french-coffee-shop-3","A cafe creme please","Un café crème, s'il vous plaît.","uhn kah fay krem seel voo play","Use this for a common milk-coffee order at a cafe or bakery counter.","🥛","Second-wave translated as the common milk-coffee order for cafes and bakeries.","second-wave-translated"
"french-coffee-shop-4","coffee-shop","french-coffee-shop-4","Just a little ice","","","Retired from the current lane unless a future cafe-fit rewrite proves this intent belongs in the France pack.","🧊","Retired from the current France lane: less-ice customization is a weak cafe intent here; reopen only if a future source rewrite replaces this row.","retired-current-lane"
"french-coffee-shop-5","coffee-shop","french-coffee-shop-5","No sugar please","Sans sucre, s'il vous plaît.","sahn sewk ruh seel voo play","Use this to keep your drink less sweet.","🚫","Second-wave translated as a quick drink-customization follow-up.","second-wave-translated"
"french-coffee-shop-6","coffee-shop","french-coffee-shop-6","For takeaway","À emporter, s'il vous plaît.","ah ahm-por-tay seel voo play","Say this when you want takeaway instead of staying.","🥤","First-wave translated as the core takeaway line for cafe and bakery counters.","first-wave-translated"
"french-coffee-shop-7","coffee-shop","french-coffee-shop-7","The bill please","L'addition, s'il vous plaît.","la-dee-syohn seel voo play","Use this when you are ready to ask for the bill at a cafe or casual restaurant.","💵","First-wave translated with France-fit bill wording instead of a generic payment ask.","first-wave-translated"
"french-street-food-1","street-food","french-street-food-1","One serving please","Une portion, s'il vous plaît.","ewn por-syohn seel voo play","Use this for a simple food order while pointing at a casual counter or takeaway spot.","🍽️","First-wave translated as a simple counter-order line for casual dining and takeaway.","first-wave-translated"
"french-street-food-2","street-food","french-street-food-2","I would like this one","Je voudrais celui-ci.","zhuh vuh dray suh lwee see","Use this while pointing at the dish pastry or prepared item you want.","🍜","Second-wave translated as a simple pointing line for pastries prepared food and casual counters.","second-wave-translated"
"french-street-food-3","street-food","french-street-food-3","Not spicy please","Pas trop épicé, s'il vous plaît.","pah troh ay pee say seel voo play","Say this before the food is prepared if you want mild food.","🌶️","Second-wave translated as a mild-food request while keeping the wording short.","second-wave-translated"
