phrase_id,scenario_id,audio_key,english_text,target_text,pronunciation,context,emoji,notes,status
japanese-coffee-shop-1,coffee-shop,japanese-coffee-shop-1,One iced milk coffee please,アイスのミルクコーヒーを一つお願いします,aisu no miruku koohii o hitotsu onegaishimasu,Use this for a standard iced coffee order at a cafe counter.,☕,second-wave utility draft for a common cafe order; katakana-heavy loanword line,drafted
japanese-coffee-shop-2,coffee-shop,japanese-coffee-shop-2,I would like an iced black coffee,アイスコーヒーを一つお願いします,aisu koohii o hitotsu onegaishimasu,Use this when you want coffee without milk.,🥤,third-pass utility draft for a standard iced black coffee order,drafted
japanese-coffee-shop-3,coffee-shop,japanese-coffee-shop-3,I would like an iced latte,アイスラテを一つお願いします,aisu rate o hitotsu onegaishimasu,Useful when ordering a familiar milk coffee drink.,🥛,third-pass utility draft for a familiar cafe latte order,drafted
japanese-coffee-shop-4,coffee-shop,japanese-coffee-shop-4,Just a little ice,氷は少なめでお願いします,koori wa sukuname de onegaishimasu,Add this when you want less ice in your drink.,🧊,third-pass utility draft for lighter ice customization,drafted
japanese-coffee-shop-5,coffee-shop,japanese-coffee-shop-5,No sugar please,砂糖なしでお願いします,satou nashi de onegaishimasu,Use this to keep your drink unsweetened.,🚫,second-wave utility draft for a simple drink adjustment; kana さとうなしでおねがいします,drafted
japanese-coffee-shop-6,coffee-shop,japanese-coffee-shop-6,For takeaway,持ち帰りでお願いします,mochikaeri de onegaishimasu,Say this when you want takeaway instead of staying.,🥤,second-wave utility draft for takeaway ordering after the shared-source audit; kana もちかえりでおねがいします,drafted
japanese-coffee-shop-7,coffee-shop,japanese-coffee-shop-7,"Could I pay, please?",お会計をお願いします,okaikei o onegaishimasu,Use this when you are ready to pay or ask for the bill.,💵,third-pass utility draft for asking to pay at a cafe counter,drafted
japanese-street-food-1,street-food,japanese-street-food-1,One portion please,一つお願いします,hitotsu onegaishimasu,Use this for a simple food order while pointing.,🍽️,second-wave utility draft for fast counters and stalls; kana ひとつおねがいします,drafted
japanese-street-food-2,street-food,japanese-street-food-2,I will take this bowl,この丼をお願いします,kono donburi o onegaishimasu,Use this while pointing at the bowl or rice dish you want.,🍜,second-wave utility draft tuned for bowl-style dishes; kana このどんぶりをおねがいします,drafted
japanese-street-food-3,street-food,japanese-street-food-3,Not spicy please,辛さ控えめでお願いします,karasa hikaeme de onegaishimasu,Use this before the dish is prepared if you need a mild version.,🌶️,first-wave promoted core keep food review caution; kana からさひかえめでおねがいします,first-wave-promoted-core
japanese-street-food-4,street-food,japanese-street-food-4,More herbs please,,,Use this when you want extra greens or garnish.,🥬,Rewrite-needed graduation hold: keep outside the Japan packet until a stronger condiment-specific source rewrite exists,deferred-rewrite-needed
japanese-street-food-5,street-food,japanese-street-food-5,Do you have bottled water,ミネラルウォーターはありますか,mineraru wootaa wa arimasu ka,Ask this at restaurants or kiosks when you want sealed bottled water.,💧,first-wave promoted core bottled-water availability check,first-wave-promoted-core
japanese-street-food-6,street-food,japanese-street-food-6,A spoon and chopsticks please,スプーンとお箸をお願いします,supuun to ohashi o onegaishimasu,Use this if utensils were not set out.,🥢,second-wave utility draft for mixed utensil request; kana スプーンとおはしをおねがいします,drafted
japanese-street-food-7,street-food,japanese-street-food-7,Pack it to go,持ち帰りにしてください,mochikaeri ni shite kudasai,Say this when you want takeaway from a stall or casual restaurant.,🛍️,second-wave utility draft for takeaway packaging request; kana もちかえりにしてください,drafted
japanese-grab-taxi-1,grab-taxi,japanese-grab-taxi-1,Take me here,ここまでお願いします,koko made onegaishimasu,Use this while showing the destination on your phone to the driver.,📍,first-wave promoted core show-screen taxi line,first-wave-promoted-core
japanese-grab-taxi-2,grab-taxi,japanese-grab-taxi-2,Go to the city center,,,Use this for a simple destination when the driver already knows the area.,🏙️,Rewrite-needed graduation hold: generic city-center routing still needs a station or map-showable Japan-fit rewrite,deferred-rewrite-needed
japanese-grab-taxi-3,grab-taxi,japanese-grab-taxi-3,You can stop here,ここでお願いします,koko de onegaishimasu,Say this when the taxi or ride-app car reaches the right drop-off point.,🛑,first-wave promoted core drop-off control,first-wave-promoted-core
japanese-grab-taxi-4,grab-taxi,japanese-grab-taxi-4,Go this way,こちらの道でお願いします,kochira no michi de onegaishimasu,Use this if you need to guide the driver.,➡️,third-pass utility draft for steering a driver onto the shown route,drafted
