item_id,menu_type,category,subcategory,popular,vietnamese_item,english_translation,romanized_no_tones,sound_out,notes,at_a_glance,usually_includes,good_to_know,common_options,quick_say_vietnamese,quick_say_english,quick_say_sound_out,what_it_is,how_to_enjoy,how_locals_order,worth_knowing,regional_association,origin_posture,traveler_caution,helper_phrase_ids,order_line_audio_policy,editorial_status
food-pho-bo,Food,Noodle soups,,true,Phở bò,Beef noodle soup,Pho bo,fuh baw,,"Phở bò is Vietnam’s best-known noodle soup: clear, fragrant beef broth, soft rice noodles, and thin slices of beef finished with herbs. It feels light, comforting, and deeply satisfying.",beef broth | rice noodles | sliced beef | herbs | lime,"Herbs, lime, chili, and bean sprouts usually arrive on the side. Add them little by little so the broth stays balanced.",extra herbs | chili | bean sprouts | less spicy | no MSG,Cho tôi một tô phở bò.,I’d like one bowl of beef noodle soup.,chaw toy moht toh fuh baw,"Phở bò is beef noodle soup with clear, fragrant broth, flat rice noodles, thin slices of beef, onion, herbs, and lime. The best bowls taste clean first, then deepen with beef sweetness and warm spice.","Taste the broth first, then add herbs, lime, bean sprouts, or chili a little at a time. Keep the seasoning balanced so the broth still leads.","A simple phở bò order usually gets you the classic beef bowl, but shops may ask which cut you want. If you are unsure, rare beef tastes brighter, while well-done beef feels more familiar.","Phở is one of Vietnam’s signature noodle soups, with northern and southern styles differing in broth sweetness, herb plates, and condiments.",Vietnam,regional-variation,,menu-not-spicy | menu-less-spicy | menu-pack-to-go | menu-pay-now,text-only,handwritten-reviewed
food-pho-ga,Food,Noodle soups,,true,Phở gà,Chicken noodle soup,Pho ga,fuh gah,,"A gentler cousin of beef phở, with clear chicken broth, rice noodles, herbs, lime, and tender slices or shreds of gà.",broth | rice noodles | chicken | herbs | lime,Ask for không cay if you do not want chili sauce added.,extra herbs | chili | bean sprouts | less spicy | no MSG,Cho tôi một tô phở gà.,I’d like one bowl of chicken noodle soup.,chaw toy moht toh fuh gah,"Phở gà is chicken noodle soup built on a clean, fragrant broth rather than the deeper beef bones of phở bò. Expect flat rice noodles, chicken, onion, scallion, herbs, and lime or chili on the side.","Taste the broth before adding anything. Then use lime, herbs, and chili in small steps so you can notice the sweetness of the chicken broth.","Order Phở gà when you want the cleaner chicken version of phở. Taste the broth before lime or chili, then add herbs gently so the chicken sweetness still comes through.","Phở gà is a comforting breakfast or light dinner, and in Hanoi especially it can be beautifully spare: broth, noodles, chicken, and herbs with no need for theatrics.",,cultural-context,,menu-not-spicy | menu-less-spicy | menu-pack-to-go | menu-pay-now,text-only,handwritten-reviewed
food-pho-tai,Food,Noodle soups,,false,Phở tái,Pho with rare beef,Pho tai,fuh tie,,"Phở tái is beef phở with very thin rare beef slices that finish cooking in the hot broth. It is clean, aromatic, and more tender than the well-done beef version.",beef broth | rice noodles | rare beef | onion | herbs and lime,"If rare beef makes you nervous, order phở chín instead. The broth should still be hot enough to soften the beef at the table.",well-done beef | extra herbs | bean sprouts | no chili,Cho tôi một tô phở tái.,I’d like one bowl of pho with rare beef.,chaw toy moht toh fuh tie,"Phở tái is beef phở with thin rare beef slices added just before serving, so the hot broth finishes them in the bowl. It gives you tender beef without making the soup heavy.","Let the beef sit in the broth for a moment, then taste before adding chili or lime. Choose phở chín if you want fully cooked beef from the start.","Phở tái is the order when you want rare beef, so say the full name instead of just phở. Add lime, herbs, and chili after tasting the beef broth; ask chín if you decide you want cooked meat instead.","Tái means rare or lightly cooked. In a hot bowl of phở, the beef finishes cooking at the table, which is why locals order it confidently.",,cultural-context,,menu-not-spicy | menu-less-spicy | menu-pack-to-go | menu-pay-now,text-only,handwritten-reviewed
food-pho-chin,Food,Noodle soups,,false,Phở chín,Pho with well-done beef,Pho chin,fuh chin,,"Phở chín is beef phở with cooked beef slices, rice noodles, herbs, and clear fragrant broth. It is the safer choice if you want phở without rare meat.",beef broth | rice noodles | well-done beef | onion | herbs and lime,"Chín means cooked or well-done here. You still season the bowl at the table with herbs, lime, bean sprouts, or chili.",rare beef | extra herbs | bean sprouts | no chili,Cho tôi một tô phở chín.,I’d like one bowl of pho with well-done beef.,chaw toy moht toh fuh chin,"Phở chín is beef phở with cooked beef slices, clear broth, rice noodles, onion, herbs, and lime. It keeps the classic phở flavor while avoiding rare meat.","Taste the broth first, then add herbs, lime, bean sprouts, or chili little by little. The cooked beef is already ready to eat.","Phở chín is the safer phở order when you want well-done beef from the start. Taste the broth first, then add herbs or lime; ask không cay before chili oil or sliced chilies go in.",Chín means cooked or well-done. Learning chín helps you order phở in Vietnam without accidentally getting rare beef.,,cultural-context,,menu-not-spicy | menu-less-spicy | menu-pack-to-go | menu-pay-now,text-only,handwritten-reviewed
food-pho-tai-nam,Food,Noodle soups,,false,Phở tái nạm,Pho with rare beef and brisket,Pho tai nam,fuh tie nahm,,"Phở tái nạm gives you two beef textures in one bowl: tender rare beef and richer brisket. It is still a clean broth dish, but the meat feels fuller than plain phở tái.",beef broth | rice noodles | rare beef | brisket | herbs and lime,"Nạm is brisket, so this bowl has more chew and beef depth. Taste the broth before adding chili sauce or lime.",extra brisket | extra herbs | bean sprouts | no chili,Cho tôi một tô phở tái nạm.,I’d like one bowl of pho with rare beef and brisket.,chaw toy moht toh fuh tie nahm,"Phở tái nạm combines rare beef with brisket in the same bowl. The rare beef stays tender, while nạm brings a deeper beef flavor and more chew.",Taste both beef cuts before changing the broth. Add lime or chili only after you know how rich the brisket makes the bowl.,"Phở tái nạm is the order when you want rare beef, so say the full name instead of just phở. Add lime, herbs, and chili after tasting the beef broth; ask chín if you decide you want cooked meat instead.","Tái nạm combines rare beef with brisket or flank, a classic phở-shop move for people who want both tenderness and deeper beef flavor.",,cultural-context,,menu-not-spicy | menu-less-spicy | menu-pack-to-go | menu-pay-now,text-only,handwritten-reviewed
food-pho-bo-vien,Food,Noodle soups,,false,Phở bò viên,Pho with beef meatballs,Pho bo vien,fuh baw vee-en,,"Phở bò viên is beef phở with springy beef meatballs, clear broth, rice noodles, herbs, and lime. It is a good choice when you want texture without rare slices.",beef broth | rice noodles | beef meatballs | onion | herbs and lime,Bò viên are bouncy beef meatballs. The texture is firmer than sliced beef and easy to recognize in a mixed phở menu.,extra meatballs | extra herbs | bean sprouts | no chili,Cho tôi một tô phở bò viên.,I’d like one bowl of pho with beef meatballs.,chaw toy moht toh fuh baw vee-en,"Phở bò viên is phở with beef meatballs instead of sliced beef. The meatballs are springy and mild, while the broth still carries the phở aroma.",Slice or bite the meatballs with noodles and herbs. Add chili sauce slowly so the beef broth stays clear.,"Say Phở bò viên when the beef meatballs are the part you want, not just a plain beef bowl. Locals season lightly at the table, then use extra herbs or bean sprouts only if the broth still feels too heavy.","Bò viên appears across Vietnamese noodle shops and street snacks. In phở, it is the easiest beef topping if rare meat makes you nervous.",,cultural-context,,menu-not-spicy | menu-less-spicy | menu-pack-to-go | menu-pay-now,text-only,handwritten-reviewed
food-pho-dac-biet,Food,Noodle soups,,false,Phở đặc biệt,Special combination pho,Pho dac biet,fuh dak bee-et,,"Phở đặc biệt is the special combination bowl, usually with several beef cuts such as rare beef, brisket, meatballs, tendon, or tripe depending on the shop.",beef broth | rice noodles | mixed beef cuts | onion | herbs and lime,"Đặc biệt means special, not one fixed recipe. Ask what is included if tendon, tripe, or rare beef matters.",no tripe | no tendon | extra herbs | no chili,Cho tôi một tô phở đặc biệt.,I’d like one bowl of special combination pho.,chaw toy moht toh fuh dak bee-et,"Phở đặc biệt is the house combination phở. It lets a shop show several beef textures in one bowl, from tender slices to chewier cuts.","Taste each beef cut before adding condiments. If you are cautious, ask what meats come in the special bowl before ordering.","Phở đặc biệt means the combination bowl, so it can include mixed beef cuts such as brisket, tendon, tripe, or meatballs. Ask no tripe or no tendon before ordering if those textures are not for you.","On Vietnamese menus, đặc biệt usually means the fuller house version. It can be delicious, but it is not always the safest first order for texture-sensitive eaters.",,cultural-context,"May include tendon, tripe, meatballs, brisket, and rare beef.",menu-not-spicy | menu-less-spicy | menu-pack-to-go | menu-pay-now,text-only,handwritten-reviewed
food-bun-bo-hue,Food,Noodle soups,,true,Bún bò Huế,Spicy Hue beef noodle soup,Bun bo Hue,boon baw hway,,"Bún bò Huế is a bold central-Vietnam noodle soup with lemongrass, chili warmth, beef, and thick round noodles. It is richer and spicier than phở.",broth | rice vermicelli | beef | herbs | lime,"Ask for less spicy if you are heat-sensitive. The broth is the point, so taste it before adding extra chili.",extra herbs | chili | bean sprouts | less spicy | no MSG,Cho tôi một tô bún bò Huế.,I’d like one bowl of spicy Hue beef noodle soup.,chaw toy moht toh boon baw hway,"Bún bò Huế is a bold central-Vietnam noodle soup with lemongrass, chili warmth, beef, and thicker round noodles. It is richer, deeper, and usually spicier than phở.","Taste before adding chili. If heat is a concern, ask for less spicy early, then use the herbs and lime to brighten the broth.","For Bún bò Huế, ask ít cay before the bowl is made if you want Hue lemongrass depth without full chili heat. Many diners add herbs and lime, but the red broth should still lead.","The name points to Huế, the former imperial capital, and the dish is strongly associated with central Vietnam. Recipes still shift by shop, especially the spice level and toppings.",Huế and central Vietnam,regional-association,Ask for less spicy if heat is a concern.,menu-not-spicy | menu-less-spicy | menu-pack-to-go | menu-pay-now,text-only,handwritten-reviewed
food-bun-rieu-cua,Food,Noodle soups,,true,Bún riêu cua,Crab and tomato noodle soup,Bun rieu cua,boon ree-ew koo-ah,,"Bún riêu cua is crab-and-tomato vermicelli soup with a tangy red broth, soft crab mixture, tofu, herbs, and sometimes snails or pork blood cubes. It is bright, savory, and a little rustic.",rice vermicelli | crab-tomato broth | tofu | herbs | shrimp paste optional,"The sourness usually comes from tomato and tamarind or vinegar-like seasoning, not cream. Ask what toppings are included if you avoid shellfish or pork.",extra herbs | no shrimp paste | less chili | no pork blood,Cho tôi một tô bún riêu cua.,I’d like one bowl of crab and tomato noodle soup.,chaw toy moht toh boon ree-ew koo-ah,"Bún riêu cua is a crab-and-tomato vermicelli soup with tangy broth, tofu, herbs, and often shrimp paste or extra pork-side toppings. It tastes brighter and more rustic than phở.","Add herbs first, then chili or shrimp paste carefully. The broth already has sour tomato lift, so do not drown it before tasting.","Order Bún riêu cua for the crab-tomato broth, then decide whether you want the shrimp-paste funk. If mắm tôm worries you, ask for it riêng, on the side, or skip it.","Bún riêu cua is a northern-rooted tomato and crab noodle soup that many shops personalize with tofu, pork, herbs, and shrimp paste.",,category-context,"May include shellfish, shrimp paste, pork, snails, or pork blood depending on the shop.",menu-not-spicy | menu-less-spicy | menu-pack-to-go | menu-pay-now,text-only,handwritten-reviewed
food-bun-mam,Food,Noodle soups,,false,Bún mắm,Fermented fish noodle soup,Bun mam,boon mahm,,"Bún mắm is a Mekong-style noodle soup with fermented fish broth, rice vermicelli, seafood, pork, eggplant, herbs, and a deep salty aroma. It is bold on purpose.",rice vermicelli | fermented fish broth | seafood | pork | eggplant and herbs,"This is one of the strongest-flavored soups on a Vietnamese menu. If fermented fish sounds like too much, choose bún riêu or phở first.",extra herbs | less chili | no pork | ask what seafood,Cho tôi một tô bún mắm.,I’d like one bowl of fermented fish noodle soup.,chaw toy moht toh boon mahm,"Bún mắm is rice vermicelli in fermented fish broth with seafood, pork, eggplant, herbs, and a powerful savory aroma. It is one of the boldest soups in the menu set.",Smell and sip before adding chili. Herbs and vegetables are not decoration; they freshen the fermented fish broth.,"Bún mắm is for people who want the fermented fish broth, so ask what seafood is in today's pot before committing. Less chili and no pork are worth saying early because toppings are added fast.","Bún mắm is strongly associated with southern and Mekong Delta cooking. The fermented fish base is the identity, not a flaw.",southern Vietnam and the Mekong Delta,regional-association,Contains fermented fish broth and often seafood or pork.,menu-not-spicy | menu-less-spicy | menu-sauce-on-side | menu-ask-fish-sauce | menu-pack-to-go,text-only,handwritten-reviewed
