"selected_order","batch_id","batch_role","selection_group","selection_reason","pilot_patch_id","pilot_page_id","current_page_id_mismatch_from_pilot","page_id","phrase_id","vietnamese_title","english_title","phrase_vietnamese","phrase_english","pronunciation","summary","pageKind","placeKind","contentRole","city_id","subcategory_id","place_id","city_place_vietnamese","city_place_english","difficulty","spoken_chunks","source_ids","rationale","category_tags","page_renderer","hero_image_name","icon_name","tint_name","access_tier","page_completeness_status","phrase_completeness_status","audio_status","audio_key","missing_audio_id","source_lane","source_path","generated_phrase_source_path","source_row_id","sense_key","section_count","phrase_row_count","breakdown_count","relationship_count","section_ids","audit_verdict","audit_flags","audit_issue_codes","ba_na_reference_summary","reviewer_notes","review_status","import_approval"
"1","chatgpt-batch-001","active_review","restaurant","Prior hard restaurant page; needs live-interaction model for ordering, drinks, payment, and ride-back support.","EP-001","viet-phrase-city-hanoi-place-bun-cha-huong-lien","FALSE","viet-phrase-city-hanoi-place-bun-cha-huong-lien","city-hanoi-place-bun-cha-huong-lien","Bún chả Hương Liên","Bun Cha Huong Lien","Bún chả Hương Liên","Bun Cha Huong Lien","boon cha huong lien","A walk-in guide for Bún chả Hương Liên: say the place name, order bún chả, handle drinks, pay, and get a ride back without turning the page into a review.","restaurant","restaurant","iconic","hanoi","food-coffee","hanoi-bun-cha-huong-lien","Bún chả Hương Liên","Bun Cha Huong Lien","beginner","3","vt-hanoi|vt-hanoi-official","Place-name page for Bun Cha Huong Lien; it gives Hanoi practice a real map anchor before route, ticket, shopping, or help phrases branch from it.","city-guides|hanoi|food-coffee|beginner|city-page-kind-restaurant|place-kind-restaurant|content-role-iconic|restaurants|editorial-pilot","article-listing","","fork.knife","green","premium","deep","deep","planned_missing_audio","","missing-audio:planned:b446966c447af89b","city-v1","content-draft/viet/city-library/v1.json","native-ios/Resources/viet-phrase-catalog.json","city-hanoi-place-bun-cha-huong-lien","","10","17","3","17","at-glance|quick-say|breakdown|place-brief|before-you-go|menu-dietary|when-to-use|inside-the-place|good-to-know|explore-next","PASS","","","","","REVIEW_ONLY","REVIEW_ONLY"
"2","chatgpt-batch-001","active_review","restaurant","Prior hard restaurant page; needs durable, source-aware traveler tasks without review-style claims.","EP-002","viet-phrase-city-hanoi-place-pho-bat-dan","FALSE","viet-phrase-city-hanoi-place-pho-bat-dan","city-hanoi-place-pho-bat-dan","Phở Bát Đàn","Pho Bat Dan","Phở Bát Đàn","Pho Bat Dan","pho bat dan","A walk-in guide for Phở Bát Đàn: say the place name, order a bowl of phở, ask what to get, pay, and recover if the line or counter feels confusing.","restaurant","restaurant","iconic","hanoi","food-coffee","hanoi-pho-bat-dan","Phở Bát Đàn","Pho Bat Dan","beginner","3","vt-hanoi|vt-hanoi-official","Place-name page for Pho Bat Dan; it gives Hanoi practice a real map anchor before route, ticket, shopping, or help phrases branch from it.","city-guides|hanoi|food-coffee|beginner|city-page-kind-restaurant|place-kind-restaurant|content-role-iconic|restaurants|editorial-pilot","article-listing","","fork.knife","green","premium","deep","deep","planned_missing_audio","","missing-audio:planned:9fd8d79cd3e2f4a3","city-v1","content-draft/viet/city-library/v1.json","native-ios/Resources/viet-phrase-catalog.json","city-hanoi-place-pho-bat-dan","","10","17","3","17","at-glance|quick-say|breakdown|place-brief|before-you-go|menu-dietary|when-to-use|inside-the-place|good-to-know|explore-next","PASS","","","","","REVIEW_ONLY","REVIEW_ONLY"
"3","chatgpt-batch-001","active_review","dish_identity","Remaining unresolved Cao lầu identity page; needs Jojo decision before any canonical title/content import.","EP-003","viet-phrase-city-hoian-place-cao-lau-city","FALSE","viet-phrase-city-hoian-place-cao-lau-city","city-hoian-place-cao-lau-city","Cao lầu ở Hội An","Cao lau in Hoi An","Cao lầu ở Hội An","Cao lau in Hoi An","cao lau uh hoy an","Cao lau in Hoi An","dish","dish","dish-anchor","hoian","food-coffee","hoian-cao-lau-city","Cao lầu ở Hội An","Cao lau in Hoi An","beginner","4","vt-hoian|vt-hoian-official","Place-name page for Cao lau in Hoi An; it gives Hoi An practice a real map anchor before route, ticket, shopping, or help phrases branch from it.","city-guides|hoian|food-coffee|beginner|city-page-kind-dish|place-kind-dish|content-role-dish-anchor|local-dishes","article-listing","","takeoutbag.and.cup.and.straw.fill","orange","premium","deep","deep","planned_missing_audio","","missing-audio:planned:e5764d0977051ecd","city-v1","content-draft/viet/city-library/v1.json","native-ios/Resources/viet-phrase-catalog.json","city-hoian-place-cao-lau-city","","9","11","3","10","at-glance|quick-say|breakdown|place-brief|how-to-order|ingredients-diet|when-to-use|good-to-know|explore-next","PASS","","","","","REVIEW_ONLY","REVIEW_ONLY"
"4","chatgpt-batch-001","active_review","dish","Prior hard dish page; needs order, spice, ingredient, and diet teaching shape.","EP-004","viet-phrase-city-hue-place-bun-bo-city","FALSE","viet-phrase-city-hue-place-bun-bo-city","city-hue-place-bun-bo-city","Bún bò Huế","Bun bo Hue","Bún bò Huế","Bun bo Hue","boon bo hweh","A dish guide for bún bò Huế: hear the dish name, order a bowl, manage spice level, and ask ingredient or diet questions before eating.","dish","dish","dish-anchor","hue","food-coffee","hue-bun-bo-city","Bún bò Huế","Bun bo Hue","beginner","3","vt-hue|vt-hue-official","Place-name page for Bun bo Hue; it gives Hue practice a real map anchor before route, ticket, shopping, or help phrases branch from it.","city-guides|hue|food-coffee|beginner|city-page-kind-dish|place-kind-dish|content-role-dish-anchor|local-dishes|editorial-pilot","article-listing","","takeoutbag.and.cup.and.straw.fill","orange","premium","deep","deep","planned_missing_audio","","missing-audio:planned:e4a7d50c15ab2db8","city-v1","content-draft/viet/city-library/v1.json","native-ios/Resources/viet-phrase-catalog.json","city-hue-place-bun-bo-city","","9","7","3","7","at-glance|quick-say|breakdown|place-brief|how-to-order|ingredients-diet|when-to-use|good-to-know|explore-next","PASS","","","","","REVIEW_ONLY","REVIEW_ONLY"
"5","chatgpt-batch-001","reference_completed","journey_place","Completed Bà Nà Hills journey patch; include as the model example, not as an active re-import target.","EP-005","viet-phrase-city-danang-place-ba-na-hills","FALSE","viet-phrase-city-danang-place-ba-na-hills","city-danang-place-ba-na-hills","Bà Nà Hills","Ba Na Hills","Bà Nà Hills","Ba Na Hills","bah na hills","A day-trip journey page for Bà Nà Hills: pickup, tickets, cable car, photos, food or drinks, and the return ride.","place","landmark","","danang","landmarks-attractions","danang-ba-na-hills","Bà Nà Hills","Ba Na Hills","beginner","3","vt-danang|vt-danang-official","Place-name page for Ba Na Hills; it gives Da Nang practice a real map anchor before route, ticket, shopping, or help phrases branch from it.","city-guides|danang|landmarks-attractions|beginner|city-page-kind-place|place-kind-landmark|actual-landmarks|journey-page|editorial-pilot|ba-na-hills-journey-v2","article-listing","HeroBaNaHills","mappin.and.ellipse","teal","premium","deep","deep","planned_missing_audio","","missing-audio:planned:2abb8098f2371d88","city-v1","content-draft/viet/city-library/v1.json","native-ios/Resources/viet-phrase-catalog.json","city-danang-place-ba-na-hills","","7","16","3","10","at-glance|quick-say|journey-flow|key-phrases|breakdown|good-to-know|explore-next","PASS","","","Bà Nà v2 reference: page=; sections=","","REVIEW_ONLY","REVIEW_ONLY"
"6","chatgpt-batch-001","active_review","place_navigation","Prior hard landmark page; needs place navigation and photo/pickup recovery shape.","EP-006","viet-phrase-city-danang-place-dragon-bridge","FALSE","viet-phrase-city-danang-place-dragon-bridge","city-danang-place-dragon-bridge","Cầu Rồng","Dragon Bridge","Cầu Rồng","Dragon Bridge","cow zong","A Da Nang landmark page for Cầu Rồng: say the bridge name, ask where it is, get dropped nearby, ask for a photo, and recover if the pickup point is confusing.","place","landmark","","danang","landmarks-attractions","danang-dragon-bridge","Cầu Rồng","Dragon Bridge","beginner","2","vt-danang","Place page supports bridge-specific route, ATM, and river phrases.","city-guides|danang|landmarks-attractions|beginner|city-page-kind-place|place-kind-landmark|actual-landmarks|editorial-pilot","article-listing","","mappin.and.ellipse","teal","premium","deep","deep","planned_missing_audio","","missing-audio:planned:848f3d9e3693ad6d","city-v1","content-draft/viet/city-library/v1.json","native-ios/Resources/viet-phrase-catalog.json","city-danang-place-dragon-bridge","","8","8","3","7","at-glance|quick-say|breakdown|place-brief|use-it-with|when-to-use|good-to-know|explore-next","PASS","","","","","REVIEW_ONLY","REVIEW_ONLY"
"7","chatgpt-batch-001","active_review","place_journey","Prior hard attraction page; needs stable facts and ticket/entrance journey support.","EP-007","viet-phrase-city-danang-place-marble-mountains","FALSE","viet-phrase-city-danang-place-marble-mountains","city-danang-place-marble-mountains","Ngũ Hành Sơn","Marble Mountains","Ngũ Hành Sơn","Marble Mountains","ngoo hanh son","A practical attraction page for Ngũ Hành Sơn: say the Vietnamese name, buy a ticket, ask about the entrance, handle stairs/caves, and get back to the driver.","place","landmark","","danang","landmarks-attractions","danang-marble-mountains","Ngũ Hành Sơn","Marble Mountains","beginner","3","vt-danang","Landmark page gives a specific attraction pronunciation for sightseeing pages.","city-guides|danang|landmarks-attractions|beginner|city-page-kind-place|place-kind-landmark|actual-landmarks|journey-page|editorial-pilot","article-listing","","mappin.and.ellipse","teal","premium","deep","deep","planned_missing_audio","","missing-audio:planned:178397cc0691d0f8","city-v1","content-draft/viet/city-library/v1.json","native-ios/Resources/viet-phrase-catalog.json","city-danang-place-marble-mountains","","10","8","3","8","at-glance|quick-say|breakdown|place-brief|use-it-with|when-to-use|journey-flow|key-phrases|good-to-know|explore-next","PASS","","","","","REVIEW_ONLY","REVIEW_ONLY"
"8","chatgpt-batch-001","active_review","place_navigation","Prior hard area page; needs route-area model and exact-stop support.","EP-008","viet-phrase-city-danang-place-son-tra","FALSE","viet-phrase-city-danang-place-son-tra","city-danang-place-son-tra","Bán đảo Sơn Trà","Son Tra Peninsula","Bán đảo Sơn Trà","Son Tra Peninsula","ban dao son chah","A route-area page for Sơn Trà: say the peninsula name, clarify the exact stop, ask about Linh Ứng Pagoda, and arrange the return pickup.","place","nature","","danang","landmarks-attractions","danang-son-tra","Bán đảo Sơn Trà","Son Tra Peninsula","beginner","4","vt-danang","Nature-place page supports route and pagoda questions tied to Son Tra.","city-guides|danang|landmarks-attractions|beginner|city-page-kind-place|place-kind-nature|actual-landmarks|editorial-pilot","article-listing","","mappin.and.ellipse","teal","premium","deep","deep","planned_missing_audio","","missing-audio:planned:ff5f30152c988309","city-v1","content-draft/viet/city-library/v1.json","native-ios/Resources/viet-phrase-catalog.json","city-danang-place-son-tra","","8","8","3","8","at-glance|quick-say|breakdown|place-brief|use-it-with|when-to-use|good-to-know|explore-next","PASS","","","","","REVIEW_ONLY","REVIEW_ONLY"
"9","chatgpt-batch-001","active_review","street_pronouncer","Prior hard street page; needs street-name pronouncer and driver-facing linked rows.","EP-009","viet-phrase-city-danang-place-bach-dang-street","FALSE","viet-phrase-city-danang-place-bach-dang-street","city-danang-place-bach-dang-street","Đường Bạch Đằng","Bach Dang Street","Đường Bạch Đằng","Bach Dang Street","duong bach dang","A Say This Street page for Đường Bạch Đằng: hear the street name, insert it into taxi phrases, confirm the address, and handle pickup/drop-off.","place","street","","danang","neighborhoods-streets","danang-bach-dang-street","Đường Bạch Đằng","Bach Dang Street","beginner","3","vt-danang|vt-danang-official","Place-name page for Bach Dang Street; it gives Da Nang practice a real map anchor before route, ticket, shopping, or help phrases branch from it.","city-guides|danang|neighborhoods-streets|beginner|city-page-kind-place|place-kind-street|actual-landmarks|street-pronouncer|editorial-pilot","article-listing","","mappin.and.ellipse","teal","premium","deep","deep","planned_missing_audio","","missing-audio:planned:17fac42c10e2ab6c","city-v1","content-draft/viet/city-library/v1.json","native-ios/Resources/viet-phrase-catalog.json","city-danang-place-bach-dang-street","","11","9","3","8","at-glance|quick-say|breakdown|place-brief|use-it-with|when-to-use|show-driver|confirm|drop-off|good-to-know|explore-next","PASS","","","","","REVIEW_ONLY","REVIEW_ONLY"
"10","chatgpt-batch-001","active_review","street_pronouncer","Prior hard street page; needs confirm-location/drop-off/wrong-place support.","EP-010","viet-phrase-city-danang-place-nguyen-van-linh-street","FALSE","viet-phrase-city-danang-place-nguyen-van-linh-street","city-danang-place-nguyen-van-linh-street","Đường Nguyễn Văn Linh","Nguyen Van Linh Street","Đường Nguyễn Văn Linh","Nguyen Van Linh Street","duong ngween van linh","A Say This Street page for Đường Nguyễn Văn Linh: hear the street name, use it with a driver, confirm you are on the right street, and fix a wrong drop-off.","place","street","","danang","neighborhoods-streets","danang-nguyen-van-linh-street","Đường Nguyễn Văn Linh","Nguyen Van Linh Street","beginner","3","vt-danang|vt-danang-official","Place-name page for Nguyen Van Linh Street; it gives Da Nang practice a real map anchor before route, ticket, shopping, or help phrases branch from it.","city-guides|danang|neighborhoods-streets|beginner|city-page-kind-place|place-kind-street|actual-landmarks|street-pronouncer|editorial-pilot","article-listing","","mappin.and.ellipse","teal","premium","deep","deep","planned_missing_audio","","missing-audio:planned:f96b005cb7716aa2","city-v1","content-draft/viet/city-library/v1.json","native-ios/Resources/viet-phrase-catalog.json","city-danang-place-nguyen-van-linh-street","","11","9","3","8","at-glance|quick-say|breakdown|place-brief|use-it-with|when-to-use|show-driver|confirm|wrong-place|good-to-know|explore-next","PASS","","","","","REVIEW_ONLY","REVIEW_ONLY"
