"patch_id","page_id","phrase_id","review_status","import_approval","operation","target_id","target_order","current_value","proposed_value","reason_for_change","new_linked_phrase_required","canonical_target_id","audio_policy","asset_policy","validator_rule","jojo_question"
"B001-PAGE-001","viet-phrase-city-hanoi-place-bun-cha-huong-lien","city-hanoi-place-bun-cha-huong-lien","REVIEW_ONLY","REVIEW_ONLY","NO_OP_REVIEW_ONLY","viet-phrase-city-hanoi-place-bun-cha-huong-lien","1","{""vietnamese_title"":""Bún chả Hương Liên"",""english_title"":""Bun Cha Huong Lien"",""summary"":""A walk-in guide for Bún chả Hương Liên: say the place name, order bún chả, handle drinks, pay, and get a ride back without turning the page into a review."",""pageKind"":""restaurant"",""hero_image_name"":""""}","","","","","NO_AUDIO_GENERATION_REUSE_OR_QUEUE","","",""
"B001-PAGE-002","viet-phrase-city-hanoi-place-pho-bat-dan","city-hanoi-place-pho-bat-dan","REVIEW_ONLY","REVIEW_ONLY","NO_OP_REVIEW_ONLY","viet-phrase-city-hanoi-place-pho-bat-dan","2","{""vietnamese_title"":""Phở Bát Đàn"",""english_title"":""Pho Bat Dan"",""summary"":""A walk-in guide for Phở Bát Đàn: say the place name, order a bowl of phở, ask what to get, pay, and recover if the line or counter feels confusing."",""pageKind"":""restaurant"",""hero_image_name"":""""}","","","","","NO_AUDIO_GENERATION_REUSE_OR_QUEUE","","",""
"B001-PAGE-003","viet-phrase-city-hoian-place-cao-lau-city","city-hoian-place-cao-lau-city","REVIEW_ONLY","REVIEW_ONLY","NO_OP_REVIEW_ONLY","viet-phrase-city-hoian-place-cao-lau-city","3","{""vietnamese_title"":""Cao lầu ở Hội An"",""english_title"":""Cao lau in Hoi An"",""summary"":""Cao lau in Hoi An"",""pageKind"":""dish"",""hero_image_name"":""""}","","","","","NO_AUDIO_GENERATION_REUSE_OR_QUEUE","","",""
"B001-PAGE-004","viet-phrase-city-hue-place-bun-bo-city","city-hue-place-bun-bo-city","REVIEW_ONLY","REVIEW_ONLY","NO_OP_REVIEW_ONLY","viet-phrase-city-hue-place-bun-bo-city","4","{""vietnamese_title"":""Bún bò Huế"",""english_title"":""Bun bo Hue"",""summary"":""A dish guide for bún bò Huế: hear the dish name, order a bowl, manage spice level, and ask ingredient or diet questions before eating."",""pageKind"":""dish"",""hero_image_name"":""""}","","","","","NO_AUDIO_GENERATION_REUSE_OR_QUEUE","","",""
"B001-PAGE-005","viet-phrase-city-danang-place-ba-na-hills","city-danang-place-ba-na-hills","REVIEW_ONLY","REVIEW_ONLY","REFERENCE_ONLY","viet-phrase-city-danang-place-ba-na-hills","5","{""vietnamese_title"":""Bà Nà Hills"",""english_title"":""Ba Na Hills"",""summary"":""A day-trip journey page for Bà Nà Hills: pickup, tickets, cable car, photos, food or drinks, and the return ride."",""pageKind"":""place"",""hero_image_name"":""HeroBaNaHills""}","","","","","NO_AUDIO_GENERATION_REUSE_OR_QUEUE","","",""
"B001-PAGE-006","viet-phrase-city-danang-place-dragon-bridge","city-danang-place-dragon-bridge","REVIEW_ONLY","REVIEW_ONLY","NO_OP_REVIEW_ONLY","viet-phrase-city-danang-place-dragon-bridge","6","{""vietnamese_title"":""Cầu Rồng"",""english_title"":""Dragon Bridge"",""summary"":""A Da Nang landmark page for Cầu Rồng: say the bridge name, ask where it is, get dropped nearby, ask for a photo, and recover if the pickup point is confusing."",""pageKind"":""place"",""hero_image_name"":""""}","","","","","NO_AUDIO_GENERATION_REUSE_OR_QUEUE","","",""
"B001-PAGE-007","viet-phrase-city-danang-place-marble-mountains","city-danang-place-marble-mountains","REVIEW_ONLY","REVIEW_ONLY","NO_OP_REVIEW_ONLY","viet-phrase-city-danang-place-marble-mountains","7","{""vietnamese_title"":""Ngũ Hành Sơn"",""english_title"":""Marble Mountains"",""summary"":""A practical attraction page for Ngũ Hành Sơn: say the Vietnamese name, buy a ticket, ask about the entrance, handle stairs/caves, and get back to the driver."",""pageKind"":""place"",""hero_image_name"":""""}","","","","","NO_AUDIO_GENERATION_REUSE_OR_QUEUE","","",""
"B001-PAGE-008","viet-phrase-city-danang-place-son-tra","city-danang-place-son-tra","REVIEW_ONLY","REVIEW_ONLY","NO_OP_REVIEW_ONLY","viet-phrase-city-danang-place-son-tra","8","{""vietnamese_title"":""Bán đảo Sơn Trà"",""english_title"":""Son Tra Peninsula"",""summary"":""A route-area page for Sơn Trà: say the peninsula name, clarify the exact stop, ask about Linh Ứng Pagoda, and arrange the return pickup."",""pageKind"":""place"",""hero_image_name"":""""}","","","","","NO_AUDIO_GENERATION_REUSE_OR_QUEUE","","",""
"B001-PAGE-009","viet-phrase-city-danang-place-bach-dang-street","city-danang-place-bach-dang-street","REVIEW_ONLY","REVIEW_ONLY","NO_OP_REVIEW_ONLY","viet-phrase-city-danang-place-bach-dang-street","9","{""vietnamese_title"":""Đường Bạch Đằng"",""english_title"":""Bach Dang Street"",""summary"":""A Say This Street page for Đường Bạch Đằng: hear the street name, insert it into taxi phrases, confirm the address, and handle pickup/drop-off."",""pageKind"":""place"",""hero_image_name"":""""}","","","","","NO_AUDIO_GENERATION_REUSE_OR_QUEUE","","",""
"B001-PAGE-010","viet-phrase-city-danang-place-nguyen-van-linh-street","city-danang-place-nguyen-van-linh-street","REVIEW_ONLY","REVIEW_ONLY","NO_OP_REVIEW_ONLY","viet-phrase-city-danang-place-nguyen-van-linh-street","10","{""vietnamese_title"":""Đường Nguyễn Văn Linh"",""english_title"":""Nguyen Van Linh Street"",""summary"":""A Say This Street page for Đường Nguyễn Văn Linh: hear the street name, use it with a driver, confirm you are on the right street, and fix a wrong drop-off."",""pageKind"":""place"",""hero_image_name"":""""}","","","","","NO_AUDIO_GENERATION_REUSE_OR_QUEUE","","",""
"B001-PAGE-011","viet-phrase-city-danang-place-vo-nguyen-giap-street","city-danang-place-vo-nguyen-giap-street","REVIEW_ONLY","REVIEW_ONLY","NO_OP_REVIEW_ONLY","viet-phrase-city-danang-place-vo-nguyen-giap-street","11","{""vietnamese_title"":""Đường Võ Nguyên Giáp"",""english_title"":""Vo Nguyen Giap Street"",""summary"":""A Say This Street page for Đường Võ Nguyên Giáp: pronounce the street, insert it into driver phrases, and confirm beach-side pickup/drop-off points."",""pageKind"":""place"",""hero_image_name"":""""}","","","","","NO_AUDIO_GENERATION_REUSE_OR_QUEUE","","",""
"B001-PAGE-012","viet-phrase-city-danang-go-ba-na-hills","city-danang-go-ba-na-hills","REVIEW_ONLY","REVIEW_ONLY","NO_OP_REVIEW_ONLY","viet-phrase-city-danang-go-ba-na-hills","12","{""vietnamese_title"":""Đi Bà Nà Hills"",""english_title"":""Go to Ba Na Hills"",""summary"":""Go to Ba Na Hills"",""pageKind"":""phrase"",""hero_image_name"":""""}","","","","","NO_AUDIO_GENERATION_REUSE_OR_QUEUE","","",""
"B001-PAGE-013","viet-phrase-city-danang-where-ba-na-hills","city-danang-where-ba-na-hills","REVIEW_ONLY","REVIEW_ONLY","NO_OP_REVIEW_ONLY","viet-phrase-city-danang-where-ba-na-hills","13","{""vietnamese_title"":""Bà Nà Hills ở đâu?"",""english_title"":""Where is Ba Na Hills?"",""summary"":""A practical where-question for when the traveler needs a direction, counter, pickup point, or map confirmation for Bà Nà Hills."",""pageKind"":""phrase"",""hero_image_name"":""""}","","","","","NO_AUDIO_GENERATION_REUSE_OR_QUEUE","","",""
"B001-PAGE-014","viet-phrase-city-danang-ticket-marble-mountains","city-danang-ticket-marble-mountains","REVIEW_ONLY","REVIEW_ONLY","NO_OP_REVIEW_ONLY","viet-phrase-city-danang-ticket-marble-mountains","14","{""vietnamese_title"":""Một vé vào Ngũ Hành Sơn"",""english_title"":""One ticket to Marble Mountains"",""summary"":""One ticket to Marble Mountains"",""pageKind"":""phrase"",""hero_image_name"":""""}","","","","","NO_AUDIO_GENERATION_REUSE_OR_QUEUE","","",""
